rows,text,date,number,type
10,1,0,2,columnPacked
5,2,0,0,pie
9,1,0,4,column
4,1,0,4,column
8,1,0,0,line
4,1,0,4,column
6,1,0,5,scatter
12,5,0,0,columnStacked
6,1,0,2,column
1,1,0,5,line
8,1,0,2,line
8,1,0,2,column
12,2,0,2,grid
4,1,0,2,pyramid
9,5,0,0,grid
9,5,0,0,grid
333,0,1,3,stockLine
442,0,1,2,stockLine
14,1,0,2,scatter
94,1,0,2,line
65,2,0,1,line
691,1,0,0,line
19,2,0,3,columnStacked
22,2,0,4,grid
21,1,0,0,line
144,1,1,0,stockLine
5,1,0,4,columnPacked
122,1,0,0,scatter
34,1,0,0,barStacked
6,1,0,0,columnPacked
8,1,0,0,columnPacked
6,1,0,4,pie
54,0,0,2,line
47,0,0,0,line
7,2,0,0,pie
4,1,0,0,pie
11,2,0,1,columnStacked
3,1,0,8,line
3,1,0,2,columnPacked
6,1,0,2,columnPacked
2,1,0,3,line
8,1,0,5,line
4,1,0,5,line
4,1,0,2,line
4,1,0,4,columnPacked
6,1,0,2,columnPacked
13,1,0,3,line
3,1,0,4,columnPacked
54,0,0,0,line
13,1,0,3,line
8,1,0,3,columnPacked
7,1,0,3,pie
11,0,1,2,line
10,1,0,0,grid
19,1,0,0,grid
11,3,0,0,grid
3,1,0,4,column
4,1,0,1,pie
3,3,0,0,grid
6,4,0,0,grid
1,1,0,50,line
10,8,0,0,grid
8,1,0,2,line
7,1,0,6,dualAxis
4,1,0,4,grid
70,0,1,0,stockLine
69,1,0,2,area
9,1,0,1,column
30,0,1,5,stockLine
8,2,0,1,columnPacked
11,2,1,6,area
1,1,0,3,pie
132,1,0,5,areaStacked
2,1,0,3,pie
39,3,0,0,grid
26,1,0,0,columnStacked
4,1,0,4,column
7,3,0,0,grid
54,1,1,4,column
38,0,0,2,column
49,0,0,5,line
67,1,0,1,column
7,1,0,1,columnPacked
23,1,0,1,columnPacked
7,2,0,17,columnStacked
2,1,0,2,bar
13,1,0,4,line
6,1,0,3,columnStacked
12,1,0,2,area
11,1,0,2,dualAxis
10,1,0,1,column
5,1,0,2,columnPacked
5,1,0,4,grid
55,2,0,0,line
5,1,0,4,columnPacked
6,1,0,3,columnPacked
3,1,0,1,column
5,1,0,1,column
5,1,0,1,column
9,2,0,0,column
6,1,0,0,pie
10,1,0,0,pie
10,1,0,1,column
7,1,0,1,column
4,1,0,2,columnPacked
7,1,0,0,pie
38,4,0,1,grid
