rows,text,date,number,type
10,1,0,2,9
5,2,0,0,16
9,1,0,4,8
4,1,0,4,8
8,1,0,0,14
4,1,0,4,8
6,1,0,5,18
12,5,0,0,10
6,1,0,2,8
1,1,0,5,14
8,1,0,2,14
8,1,0,2,8
12,2,0,2,13
4,1,0,2,17
9,5,0,0,13
9,5,0,0,13
333,0,1,3,24
442,0,1,2,24
14,1,0,2,18
94,1,0,2,14
65,2,0,1,14
691,1,0,0,14
19,2,0,3,10
22,2,0,4,13
21,1,0,0,14
144,1,1,0,24
5,1,0,4,9
122,1,0,0,18
34,1,0,0,6
6,1,0,0,9
8,1,0,0,9
6,1,0,4,16
54,0,0,2,14
47,0,0,0,14
7,2,0,0,16
4,1,0,0,16
11,2,0,1,10
3,1,0,8,14
3,1,0,2,9
6,1,0,2,9
2,1,0,3,14
8,1,0,5,14
4,1,0,5,14
4,1,0,2,14
4,1,0,4,9
6,1,0,2,9
13,1,0,3,14
3,1,0,4,9
54,0,0,0,14
13,1,0,3,14
8,1,0,3,9
7,1,0,3,16
11,0,1,2,14
10,1,0,0,13
19,1,0,0,13
11,3,0,0,13
3,1,0,4,8
4,1,0,1,16
3,3,0,0,13
6,4,0,0,13
1,1,0,50,14
10,8,0,0,13
8,1,0,2,14
7,1,0,6,12
4,1,0,4,13
70,0,1,0,24
69,1,0,2,1
9,1,0,1,8
30,0,1,5,24
8,2,0,1,9
11,2,1,6,1
1,1,0,3,16
132,1,0,5,2
2,1,0,3,16
39,3,0,0,13
26,1,0,0,10
4,1,0,4,8
7,3,0,0,13
54,1,1,4,8
38,0,0,2,8
49,0,0,5,14
67,1,0,1,8
7,1,0,1,9
23,1,0,1,9
7,2,0,17,10
2,1,0,2,4
13,1,0,4,14
6,1,0,3,10
12,1,0,2,1
11,1,0,2,12
10,1,0,1,8
5,1,0,2,9
5,1,0,4,13
55,2,0,0,14
5,1,0,4,9
6,1,0,3,9
3,1,0,1,8
5,1,0,1,8
5,1,0,1,8
9,2,0,0,8
6,1,0,0,16
10,1,0,0,16
10,1,0,1,8
7,1,0,1,8
4,1,0,2,9
7,1,0,0,16
38,4,0,1,13
5,2,0,0,8
5,1,0,1,16
2,1,0,0,16
6,1,0,3,16
4,1,0,0,16
4,1,0,0,16
11,1,0,3,9
17,1,0,1,14
3,2,0,1,11
3,2,0,1,25
4,1,0,11,9
1,1,0,8,5
7,1,0,1,9
3,1,0,8,8
7,1,0,1,9
5,1,0,3,10
67,0,0,5,14
7,1,0,5,24
2,1,0,2,16
7,2,0,2,8
3,1,0,2,8
2,1,0,5,14
5,1,0,5,14
3,1,0,31,14
9,2,0,4,9
5,1,0,2,8
50,1,0,10,14
1,0,0,5,4
1,2,0,12,4
5,1,0,9,10
46,0,0,3,14
18,1,0,0,6
18,4,0,0,13
67,0,1,0,24
18,0,1,2,23
16,8,0,0,13
4,1,0,4,14
6,1,0,2,10
6,1,0,1,8
98,0,1,2,24
6,1,0,2,10
32,1,0,4,14
1,1,0,2,4
59,1,0,3,14
6,1,0,1,8
4,1,0,1,16
6,1,0,2,16
28,0,0,5,14
5,1,0,0,9
1,1,0,2,4
13,2,0,0,13
1,1,0,3,4
1,1,0,3,4
1,1,0,3,4
1,1,0,3,4
55,0,0,3,14
101,0,0,7,2
55,0,0,3,14
10,1,0,2,14
8,1,0,4,12
1,1,0,9,10
2,1,0,5,19
21,3,0,2,17
8,1,0,56,14
32,1,0,2,8
11,1,0,3,12
10,0,0,8,14
16,0,0,3,12
21,2,0,0,13
55,0,0,3,14
32,1,0,2,19
2,1,0,1,16
19,5,0,0,13
13,4,0,0,13
211,0,1,20,25
32,1,0,2,8
7,1,0,5,9
7,1,0,1,9
3,2,0,0,13
400,1,0,2,18
1,1,0,2,4
1,1,0,2,4
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
36,1,0,4,14
3679,0,1,0,24
14,3,0,3,10
29,2,0,3,10
21,4,0,0,13
7,1,0,1,10
281,0,1,1,24
5,3,0,1,8
25,1,0,3,13
9,1,0,1,13
10,2,0,1,8
210,0,1,1,24
2,1,0,0,4
63,0,1,6,24
63,0,1,6,18
1,0,0,51,14
52,2,1,16,24
224,0,1,2,24
8,3,0,0,13
335,0,1,2,24
14,3,0,0,13
282,0,1,1,24
282,0,1,1,24
4,1,0,0,8
8,8,0,2,13
4,1,0,0,9
4,1,0,0,8
4,1,0,2,9
2,1,0,0,8
141,0,0,0,20
167,2,0,2,18
11,1,0,12,8
5,4,0,0,13
11,3,0,0,13
3,3,0,0,13
6,1,0,1,2
5,6,0,0,13
3,5,0,0,13
69,0,0,2,1
4,1,0,4,8
2,4,0,0,13
90,0,0,2,18
4,1,0,4,8
3,1,0,0,5
3679,0,1,0,24
77,0,1,1,24
4,1,0,4,8
3,2,0,6,8
14,3,0,0,13
6,4,0,0,13
331,0,1,2,23
1,0,1,4,16
3,4,0,0,13
10,1,0,1,4
3,2,0,1,11
55,0,0,3,14
18,1,0,2,17
16,1,0,2,13
12,2,1,16,24
4,1,0,2,6
6,5,0,0,13
32,1,0,2,18
7,1,0,1,4
55,0,0,3,14
8,4,0,0,13
3,1,0,9,2
10,0,0,3,14
6,2,0,0,13
2,1,0,1,16
